order_id,merchant_id,item_id,p_base_ordered,order_timestamp,ready_click_timestamp,actual_handover_timestamp,rider_travel_time_mins,p_base,base_honesty_score,kitchen_capacity,order_hour,raw_signal_gap,t_physics,current_gap,current_beta,t_for,t_dispatch,baseline_arrival,ai_arrival,baseline_wait,ai_wait
ORD_00000,M_096,ITM_M_096_1,17,2026-03-01 11:00:00,2026-03-01 11:12:15.419399,2026-03-01 11:17:00,17,17,0.6047491646965246,3,11,4.74,17.0,4.743010016666667,2.4189351085,2026-03-01 11:19:25.136106510,2026-03-01 11:03:16.136106510,2026-03-01 11:29:15.419399,2026-03-01 11:20:16.136106510,0.0,0.0
ORD_00001,M_077,ITM_M_077_2,9,2026-03-01 11:02:00,2026-03-01 11:10:06.059034,2026-03-01 11:11:00,8,9,0.9250819909957791,5,11,0.9,9.0,0.8990161000000001,0.458498211,2026-03-01 11:11:27.509892660,2026-03-01 11:03:51.509892660,2026-03-01 11:18:06.059034,2026-03-01 11:11:51.509892660,0.0,0.0
ORD_00002,M_031,ITM_M_031_2,12,2026-03-01 11:04:00,2026-03-01 11:12:08.056598,2026-03-01 11:16:00,11,12,0.6778563860711875,7,11,3.87,12.0,3.8657233666666664,1.9715189169999996,2026-03-01 11:17:58.291135020,2026-03-01 11:07:31.291135020,2026-03-01 11:23:08.056598,2026-03-01 11:18:31.291135020,0.0,0.0
ORD_00003,M_010,ITM_M_010_4,8,2026-03-01 11:06:00,2026-03-01 11:08:00.000000,2026-03-01 11:14:00,15,8,0.4042905136304904,4,11,6.0,8.0,6.0,3.503743981060606,2026-03-01 11:17:30.224638865,2026-03-01 11:03:15.224638865,2026-03-01 11:23:00.000000,2026-03-01 11:18:15.224638865,0.0,0.0
ORD_00004,M_022,ITM_M_022_4,24,2026-03-01 11:08:00,2026-03-01 11:31:20.054476,2026-03-01 11:32:00,13,24,0.944520105744802,13,11,0.67,24.0,0.6657587333333334,0.33953695399999995,2026-03-01 11:32:20.372217240,2026-03-01 11:19:59.372217240,2026-03-01 11:44:20.054476,2026-03-01 11:32:59.372217240,0.0,0.0
ORD_00005,M_085,ITM_M_085_4,14,2026-03-01 11:10:00,2026-03-01 11:23:14.723173,2026-03-01 11:24:00,15,14,0.937115518182192,11,11,0.75,14.0,0.7546137833333333,0.3848530295,2026-03-01 11:24:23.091181770,2026-03-01 11:10:08.091181770,2026-03-01 11:38:14.723173,2026-03-01 11:25:08.091181770,0.0,0.0
ORD_00006,M_017,ITM_M_017_3,19,2026-03-01 11:12:00,2026-03-01 11:23:52.640282,2026-03-01 11:31:00,16,19,0.4064448357021916,12,11,7.12,19.0,7.122661966666667,3.6325576029999995,2026-03-01 11:34:37.953456180,2026-03-01 11:19:25.953456180,2026-03-01 11:39:52.640282,2026-03-01 11:35:25.953456180,0.0,0.0
ORD_00007,M_031,ITM_M_031_0,15,2026-03-01 11:14:00,2026-03-01 11:25:08.056598,2026-03-01 11:29:00,8,15,0.6778563860711875,7,11,3.87,15.0,3.8657233666666664,1.9715189169999996,2026-03-01 11:30:58.291135020,2026-03-01 11:23:22.291135020,2026-03-01 11:33:08.056598,2026-03-01 11:31:22.291135020,0.0,0.0
ORD_00008,M_085,ITM_M_085_4,14,2026-03-01 11:16:00,2026-03-01 11:29:14.723173,2026-03-01 11:30:00,17,14,0.937115518182192,11,11,0.75,14.0,0.7546137833333333,0.3848530295,2026-03-01 11:30:23.091181770,2026-03-01 11:14:14.091181770,2026-03-01 11:46:14.723173,2026-03-01 11:31:14.091181770,0.0,0.0
ORD_00009,M_050,ITM_M_050_1,14,2026-03-01 11:18:00,2026-03-01 11:30:42.752339,2026-03-01 11:32:00,11,14,0.8927115821856078,5,11,1.29,14.0,1.2874610166666665,0.6566051184999999,2026-03-01 11:32:39.396307110,2026-03-01 11:22:12.396307110,2026-03-01 11:41:42.752339,2026-03-01 11:33:12.396307110,0.0,0.0
ORD_00010,M_054,ITM_M_054_1,10,2026-03-01 11:20:00,2026-03-01 11:23:51.846897,2026-03-01 11:30:00,7,10,0.4886762452410896,10,11,6.14,10.0,6.13588505,3.1216012226666665,2026-03-01 11:33:07.296073362,2026-03-01 11:26:28.296073362,2026-03-01 11:30:51.846897,2026-03-01 11:33:28.296073362,0.0,0.0
ORD_00011,M_000,ITM_M_000_1,19,2026-03-01 11:22:00,2026-03-01 11:39:59.617209,2026-03-01 11:41:00,16,19,0.9161350127366163,5,11,1.01,19.0,1.0063798499999999,0.5132537234999999,2026-03-01 11:41:30.795223410,2026-03-01 11:26:18.795223410,2026-03-01 11:55:59.617209,2026-03-01 11:42:18.795223410,0.0,0.0
ORD_00012,M_029,ITM_M_029_2,21,2026-03-01 11:24:00,2026-03-01 11:39:55.318591,2026-03-01 11:45:00,8,21,0.5768313766671657,10,11,5.08,21.0,5.078023483333333,2.5897919765,2026-03-01 11:47:35.387518590,2026-03-01 11:39:59.387518590,2026-03-01 11:47:55.318591,2026-03-01 11:47:59.387518590,0.0,0.0
ORD_00013,M_038,ITM_M_038_0,21,2026-03-01 11:26:00,2026-03-01 11:42:37.099244,2026-03-01 11:47:00,17,21,0.6348600612089519,13,11,4.38,21.0,4.381679266666667,2.234656426,2026-03-01 11:49:14.079385560,2026-03-01 11:33:05.079385560,2026-03-01 11:59:37.099244,2026-03-01 11:50:05.079385560,0.0,0.0
ORD_00014,M_058,ITM_M_058_3,20,2026-03-01 11:28:00,2026-03-01 11:39:50.766845,2026-03-01 11:48:00,14,20,0.3205095072124642,13,11,8.15,20.0,8.153885916666667,4.1584818175,2026-03-01 11:52:09.508909050,2026-03-01 11:38:51.508909050,2026-03-01 11:53:50.766845,2026-03-01 11:52:51.508909050,0.0,0.0
ORD_00015,M_094,ITM_M_094_2,9,2026-03-01 11:30:00,2026-03-01 11:37:16.864583,2026-03-01 11:39:00,7,9,0.8567563658409116,14,11,1.72,9.0,1.7189236166666668,0.8766510445000002,2026-03-01 11:39:52.599062670,2026-03-01 11:33:13.599062670,2026-03-01 11:44:16.864583,2026-03-01 11:40:13.599062670,0.0,0.0
ORD_00016,M_093,ITM_M_093_3,16,2026-03-01 11:32:00,2026-03-01 11:42:06.640330,2026-03-01 11:48:00,13,16,0.5092226806081813,8,11,5.89,16.0,5.889327833333334,3.003557195,2026-03-01 11:51:00.213431700,2026-03-01 11:38:39.213431700,2026-03-01 11:55:06.640330,2026-03-01 11:51:39.213431700,0.0,0.0
ORD_00017,M_070,ITM_M_070_3,23,2026-03-01 11:34:00,2026-03-01 11:52:29.011586,2026-03-01 11:57:00,6,23,0.6236272034717911,3,11,4.52,23.0,4.516473566666666,2.3034015189999995,2026-03-01 11:59:18.204091140,2026-03-01 11:53:36.204091140,2026-03-01 11:58:29.011586,2026-03-01 11:59:36.204091140,0.0,0.0
ORD_00018,M_060,ITM_M_060_1,16,2026-03-01 11:36:00,2026-03-01 11:44:45.767265,2026-03-01 11:52:00,13,16,0.3968989795780081,12,11,7.24,16.0,7.23721225,3.6909782474999995,2026-03-01 11:55:41.458694850,2026-03-01 11:43:20.458694850,2026-03-01 11:57:45.767265,2026-03-01 11:56:20.458694850,0.0,0.0
ORD_00019,M_075,ITM_M_075_2,11,2026-03-01 11:38:00,2026-03-01 11:43:31.040446,2026-03-01 11:49:00,5,11,0.5431117301782007,4,11,5.48,11.0,5.482659233333334,2.7961562090000003,2026-03-01 11:51:47.769372540,2026-03-01 11:47:02.769372540,2026-03-01 11:48:31.040446,2026-03-01 11:52:02.769372540,0.4826592333333333,0.0
ORD_00020,M_099,ITM_M_099_2,14,2026-03-01 11:40:00,2026-03-01 11:50:27.917671,2026-03-01 11:54:00,12,14,0.7054412099879162,5,11,3.53,14.0,3.534705483333333,1.8026997964999998,2026-03-01 11:55:48.161987790,2026-03-01 11:44:24.161987790,2026-03-01 12:02:27.917671,2026-03-01 11:56:24.161987790,0.0,0.0
ORD_00021,M_029,ITM_M_029_0,8,2026-03-01 11:42:00,2026-03-01 11:44:55.318591,2026-03-01 11:50:00,10,8,0.5768313766671657,10,11,5.08,8.0,5.078023483333333,2.5897919765,2026-03-01 11:52:35.387518590,2026-03-01 11:43:05.387518590,2026-03-01 11:54:55.318591,2026-03-01 11:53:05.387518590,0.0,0.0
ORD_00022,M_055,ITM_M_055_3,23,2026-03-01 11:44:00,2026-03-01 12:03:01.588625,2026-03-01 12:07:00,13,23,0.6688730901035584,11,11,3.97,23.0,3.9735229166666666,2.0264966875,2026-03-01 12:09:01.589801250,2026-03-01 11:56:40.589801250,2026-03-01 12:16:01.588625,2026-03-01 12:09:40.589801250,0.0,0.0
