order_id,merchant_id,item_id,p_base_ordered,order_timestamp,ready_click_timestamp,actual_handover_timestamp,rider_travel_time_mins
ORD_00000,M_096,ITM_M_096_1,17,2026-03-01 11:00:00,2026-03-01 11:12:15.419399,2026-03-01 11:17:00,17
ORD_00001,M_077,ITM_M_077_2,9,2026-03-01 11:02:00,2026-03-01 11:10:06.059034,2026-03-01 11:11:00,8
ORD_00002,M_031,ITM_M_031_2,12,2026-03-01 11:04:00,2026-03-01 11:12:08.056598,2026-03-01 11:16:00,11
ORD_00003,M_010,ITM_M_010_4,8,2026-03-01 11:06:00,2026-03-01 11:08:00.000000,2026-03-01 11:14:00,15
ORD_00004,M_022,ITM_M_022_4,24,2026-03-01 11:08:00,2026-03-01 11:31:20.054476,2026-03-01 11:32:00,13
ORD_00005,M_085,ITM_M_085_4,14,2026-03-01 11:10:00,2026-03-01 11:23:14.723173,2026-03-01 11:24:00,15
ORD_00006,M_017,ITM_M_017_3,19,2026-03-01 11:12:00,2026-03-01 11:23:52.640282,2026-03-01 11:31:00,16
ORD_00007,M_031,ITM_M_031_0,15,2026-03-01 11:14:00,2026-03-01 11:25:08.056598,2026-03-01 11:29:00,8
ORD_00008,M_085,ITM_M_085_4,14,2026-03-01 11:16:00,2026-03-01 11:29:14.723173,2026-03-01 11:30:00,17
ORD_00009,M_050,ITM_M_050_1,14,2026-03-01 11:18:00,2026-03-01 11:30:42.752339,2026-03-01 11:32:00,11
ORD_00010,M_054,ITM_M_054_1,10,2026-03-01 11:20:00,2026-03-01 11:23:51.846897,2026-03-01 11:30:00,7
ORD_00011,M_000,ITM_M_000_1,19,2026-03-01 11:22:00,2026-03-01 11:39:59.617209,2026-03-01 11:41:00,16
ORD_00012,M_029,ITM_M_029_2,21,2026-03-01 11:24:00,2026-03-01 11:39:55.318591,2026-03-01 11:45:00,8
ORD_00013,M_038,ITM_M_038_0,21,2026-03-01 11:26:00,2026-03-01 11:42:37.099244,2026-03-01 11:47:00,17
ORD_00014,M_058,ITM_M_058_3,20,2026-03-01 11:28:00,2026-03-01 11:39:50.766845,2026-03-01 11:48:00,14
ORD_00015,M_094,ITM_M_094_2,9,2026-03-01 11:30:00,2026-03-01 11:37:16.864583,2026-03-01 11:39:00,7
ORD_00016,M_093,ITM_M_093_3,16,2026-03-01 11:32:00,2026-03-01 11:42:06.640330,2026-03-01 11:48:00,13
ORD_00017,M_070,ITM_M_070_3,23,2026-03-01 11:34:00,2026-03-01 11:52:29.011586,2026-03-01 11:57:00,6
ORD_00018,M_060,ITM_M_060_1,16,2026-03-01 11:36:00,2026-03-01 11:44:45.767265,2026-03-01 11:52:00,13
ORD_00019,M_075,ITM_M_075_2,11,2026-03-01 11:38:00,2026-03-01 11:43:31.040446,2026-03-01 11:49:00,5
ORD_00020,M_099,ITM_M_099_2,14,2026-03-01 11:40:00,2026-03-01 11:50:27.917671,2026-03-01 11:54:00,12
ORD_00021,M_029,ITM_M_029_0,8,2026-03-01 11:42:00,2026-03-01 11:44:55.318591,2026-03-01 11:50:00,10
ORD_00022,M_055,ITM_M_055_3,23,2026-03-01 11:44:00,2026-03-01 12:03:01.588625,2026-03-01 12:07:00,13
ORD_00023,M_013,ITM_M_013_0,11,2026-03-01 11:46:00,2026-03-01 11:51:34.332294,2026-03-01 11:57:00,10
ORD_00024,M_024,ITM_M_024_3,24,2026-03-01 11:48:00,2026-03-01 12:10:44.137824,2026-03-01 12:12:00,15
ORD_00025,M_020,ITM_M_020_2,23,2026-03-01 11:50:00,2026-03-01 12:08:11.588869,2026-03-01 12:13:00,12
ORD_00026,M_067,ITM_M_067_3,12,2026-03-01 11:52:00,2026-03-01 11:56:00.390811,2026-03-01 12:04:00,10
ORD_00027,M_038,ITM_M_038_3,21,2026-03-01 11:54:00,2026-03-01 12:10:37.099244,2026-03-01 12:15:00,13
ORD_00028,M_016,ITM_M_016_0,10,2026-03-01 11:56:00,2026-03-01 12:03:08.212109,2026-03-01 12:06:00,9
ORD_00029,M_006,ITM_M_006_1,19,2026-03-01 11:58:00,2026-03-01 12:13:30.355852,2026-03-01 12:17:00,15
ORD_00030,M_063,ITM_M_063_4,18,2026-03-01 12:00:00,2026-03-01 12:16:22.171797,2026-03-01 12:18:00,10
ORD_00031,M_003,ITM_M_003_0,19,2026-03-01 12:02:00,2026-03-01 12:18:38.961691,2026-03-01 12:21:00,10
ORD_00032,M_022,ITM_M_022_0,13,2026-03-01 12:04:00,2026-03-01 12:16:20.054476,2026-03-01 12:17:00,8
ORD_00033,M_071,ITM_M_071_1,12,2026-03-01 12:06:00,2026-03-01 12:13:49.111824,2026-03-01 12:18:00,8
ORD_00034,M_009,ITM_M_009_2,9,2026-03-01 12:08:00,2026-03-01 12:15:57.331200,2026-03-01 12:17:00,14
ORD_00035,M_050,ITM_M_050_3,12,2026-03-01 12:10:00,2026-03-01 12:20:42.752339,2026-03-01 12:22:00,13
ORD_00036,M_050,ITM_M_050_2,17,2026-03-01 12:12:00,2026-03-01 12:27:42.752339,2026-03-01 12:29:00,16
ORD_00037,M_062,ITM_M_062_1,17,2026-03-01 12:14:00,2026-03-01 12:29:55.683777,2026-03-01 12:31:00,13
ORD_00038,M_022,ITM_M_022_3,14,2026-03-01 12:16:00,2026-03-01 12:29:20.054476,2026-03-01 12:30:00,15
ORD_00039,M_031,ITM_M_031_1,16,2026-03-01 12:18:00,2026-03-01 12:30:08.056598,2026-03-01 12:34:00,12
ORD_00040,M_074,ITM_M_074_2,15,2026-03-01 12:20:00,2026-03-01 12:28:12.871609,2026-03-01 12:35:00,7
ORD_00041,M_033,ITM_M_033_0,8,2026-03-01 12:22:00,2026-03-01 12:24:00.000000,2026-03-01 12:30:00,11
ORD_00042,M_051,ITM_M_051_3,8,2026-03-01 12:24:00,2026-03-01 12:29:25.882324,2026-03-01 12:32:00,16
ORD_00043,M_056,ITM_M_056_3,13,2026-03-01 12:26:00,2026-03-01 12:37:16.216332,2026-03-01 12:39:00,12
ORD_00044,M_088,ITM_M_088_4,16,2026-03-01 12:28:00,2026-03-01 12:39:28.775956,2026-03-01 12:44:00,15
ORD_00045,M_091,ITM_M_091_3,8,2026-03-01 12:30:00,2026-03-01 12:32:00.000000,2026-03-01 12:38:00,6
ORD_00046,M_032,ITM_M_032_2,14,2026-03-01 12:32:00,2026-03-01 12:44:33.381260,2026-03-01 12:46:00,16
ORD_00047,M_070,ITM_M_070_4,21,2026-03-01 12:34:00,2026-03-01 12:50:29.011586,2026-03-01 12:55:00,11
ORD_00048,M_068,ITM_M_068_2,11,2026-03-01 12:36:00,2026-03-01 12:40:21.778478,2026-03-01 12:47:00,17
ORD_00049,M_089,ITM_M_089_2,19,2026-03-01 12:38:00,2026-03-01 12:50:15.588795,2026-03-01 12:57:00,12
ORD_00050,M_055,ITM_M_055_0,11,2026-03-01 12:40:00,2026-03-01 12:47:01.588625,2026-03-01 12:51:00,12
ORD_00051,M_063,ITM_M_063_4,18,2026-03-01 12:42:00,2026-03-01 12:58:22.171797,2026-03-01 13:00:00,14
ORD_00052,M_056,ITM_M_056_3,13,2026-03-01 12:44:00,2026-03-01 12:55:16.216332,2026-03-01 12:57:00,12
ORD_00053,M_026,ITM_M_026_4,20,2026-03-01 12:46:00,2026-03-01 13:04:49.842328,2026-03-01 13:06:00,7
ORD_00054,M_027,ITM_M_027_2,11,2026-03-01 12:48:00,2026-03-01 12:52:46.435275,2026-03-01 12:59:00,5
ORD_00055,M_030,ITM_M_030_3,15,2026-03-01 12:50:00,2026-03-01 12:58:45.040676,2026-03-01 13:05:00,11
ORD_00056,M_044,ITM_M_044_2,21,2026-03-01 12:52:00,2026-03-01 13:10:32.781546,2026-03-01 13:13:00,6
ORD_00057,M_032,ITM_M_032_1,8,2026-03-01 12:54:00,2026-03-01 13:00:33.381260,2026-03-01 13:02:00,14
ORD_00058,M_015,ITM_M_015_1,16,2026-03-01 12:56:00,2026-03-01 13:05:01.183235,2026-03-01 13:12:00,17
ORD_00059,M_071,ITM_M_071_0,16,2026-03-01 12:58:00,2026-03-01 13:09:49.111824,2026-03-01 13:14:00,6
